experiment,protocol,seed,majority_class,accuracy,balanced_accuracy,macro_f1,train_size,test_size
majority_baseline,A,111,A-,0.1723744292237443,0.125,0.03675754625121714,4085,876
majority_baseline,A,222,A-,0.1723744292237443,0.125,0.03675754625121714,4085,876
majority_baseline,A,333,A-,0.1723744292237443,0.125,0.03675754625121714,4085,876
majority_baseline,A,444,A-,0.1735159817351598,0.125,0.03696498054474708,4085,876
majority_baseline,A,555,A-,0.1723744292237443,0.125,0.03675754625121714,4085,876
majority_baseline,B,111,A-,0.1718213058419244,0.125,0.036656891495601175,4085,873
majority_baseline,B,222,A-,0.1731651376146789,0.125,0.036901270772238516,4092,872
majority_baseline,B,333,A-,0.1720183486238532,0.125,0.03669275929549902,4086,872
majority_baseline,B,444,A-,0.17292377701934017,0.125,0.03685741998060136,4086,879
majority_baseline,B,555,A-,0.17411225658648338,0.125,0.037073170731707315,4085,873
