filepath,label,group_id,subject_ids,socofing_files,sha256,split
data/datasets/A+/cluster_0_2609.BMP,A+,SUBJECT_GROUP_0376,382,382__M_Left_index_finger.BMP,0d10fd8c2bc15733acf633f6653211c93530c389a10772b21531eaca52d5a828,validation
data/datasets/A+/cluster_0_262.BMP,A+,SUBJECT_GROUP_0415,422,422__M_Left_index_finger.BMP,1e7da0df80591dfaf585af3ff54c8831195c0ff1d6521df49512e5265d771218,train
data/datasets/A+/cluster_0_2640.BMP,A+,SUBJECT_GROUP_0511,519,519__M_Left_thumb_finger.BMP,81ac76721e44eef38e5576dcfd6037017d6bc94ca21e3312b2e2237b122b121a,train
data/datasets/A+/cluster_0_2642.BMP,A+,SUBJECT_GROUP_0250,254,254__M_Left_index_finger.BMP,4ec4221dec651087513fa949bd3855619d409f66fa063f68f6b8247d28eb8c34,validation
data/datasets/A+/cluster_0_2670.BMP,A+,SUBJECT_GROUP_0453,460,460__M_Left_thumb_finger.BMP,245989a6affd0c1d332be9884748979d757ea2f118f38162b991fd5839a66912,test
data/datasets/A+/cluster_0_2672.BMP,A+,SUBJECT_GROUP_0026,26,26__M_Left_thumb_finger.BMP,dcd18ab29eebfa2592036a930eae222e57f90982578916cafbc929e927b811f4,train
data/datasets/A+/cluster_0_2678.BMP,A+,SUBJECT_GROUP_0478,485,485__M_Left_thumb_finger.BMP,bacb005c2b8242e63798e7a380f188c237e47eaf11c0b9531285a90e5ed702c3,validation
data/datasets/A+/cluster_0_2679.BMP,A+,SUBJECT_GROUP_0086,86,86__M_Left_index_finger.BMP,eb49264683394f9f3fa465ebc447ffab84c764b28f4918358be68c065ecc72b4,test
data/datasets/A+/cluster_0_2693.BMP,A+,SUBJECT_GROUP_0016,16,16__M_Left_index_finger.BMP,480c2a4bb2089639f5c986515d503379702f4ec05fd6c1e81233ff044998b1a6,train
data/datasets/A+/cluster_0_271.BMP,A+,SUBJECT_GROUP_0188,188,188__M_Left_thumb_finger.BMP,d40e5f3cfa5a57d97c594a4f44a61b6e100aa43786649194f16fa9d2f734b916,train
data/datasets/A+/cluster_0_2716.BMP,A+,SUBJECT_GROUP_0155,155,155__M_Right_ring_finger.BMP,630093d2bbc1f6cb9345833236da479e7918de3c5e0a7d14808cf313a2bcf990,train
data/datasets/A+/cluster_0_2719.BMP,A+,SUBJECT_GROUP_0089,89,89__M_Left_thumb_finger.BMP,372e457d0c551f5c624b50035ce8d09ab6751da50f8a8ad024f5ac4190162e53,validation
data/datasets/A+/cluster_0_273.BMP,A+,SUBJECT_GROUP_0083,83,83__M_Left_index_finger.BMP,4a0320ce92aa50fcd1d2b3c9c6e38356a7dc1776d9eb3ee61286a17e5fbfd2d6,train
data/datasets/A+/cluster_0_2737.BMP,A+,SUBJECT_GROUP_0107,107,107__M_Left_middle_finger.BMP,0654d397adc656c14145f02350fb80aff98a2b4e3b091cc2fe10599029dfc782,validation
data/datasets/A+/cluster_0_2782.BMP,A+,SUBJECT_GROUP_0133,133,133__M_Left_middle_finger.BMP,cee558615d1e879ba7a8f69dc945ea6f5485644814a19a3a826886573127af45,train
data/datasets/A+/cluster_0_2784.BMP,A+,SUBJECT_GROUP_0199,199,199__M_Left_thumb_finger.BMP,7c0ab8768720e2f542eceb8d3f61969198de4b2c57e927fc2d71e3132a244ea0,train
